run_id,exit_code,elapsed_ms,robot_msgs,robot_ok,robot_nok,robot_latency_ms_p50,robot_latency_ms_p95,capture_total,capture_dropped,capture_drop_rate,capture_latency_avg_ms_mean,timeouts_detected,worker_restarts,python_restarts,geometry_restarts,all_restarts
1,0,14438.44,3,1,2,2.0,7.4,6,0,0.0,11.714,0,0,0,0,0
2,0,15317.79,3,1,2,2.0,10.1,6,0,0.0,11.901,0,0,0,0,0
3,0,14867.2,3,1,2,5.0,10.4,6,0,0.0,12.636,0,0,0,0,0
4,0,13613.51,3,1,2,1.0,7.3,6,0,0.0,11.703,0,0,0,0,0
5,0,12288.94,3,1,2,2.0,10.1,6,0,0.0,9.797,0,0,0,0,0
6,0,12150.4,3,1,2,2.0,7.4,6,0,0.0,14.282,0,0,0,0,0
7,0,12365.54,3,1,2,1.0,15.4,6,0,0.0,12.773,0,0,0,0,0
8,0,12376.86,3,1,2,0.0,11.7,6,0,0.0,10.572,0,0,0,0,0
9,0,11240.53,3,1,2,1.0,5.5,6,0,0.0,16.533,0,0,0,0,0
10,0,12424.93,3,1,2,1.0,10.9,6,0,0.0,13.761,0,0,0,0,0
11,0,11753.24,3,1,2,1.0,3.7,6,0,0.0,13.378,0,0,0,0,0
12,0,11004.3,3,1,2,1.0,5.5,6,0,0.0,12.92,0,0,0,0,0
13,0,13225.94,3,1,2,1.0,9.1,6,0,0.0,14.33,0,0,0,0,0
14,0,13454.37,3,1,2,1.0,14.5,6,0,0.0,12.669,0,0,0,0,0
15,0,11744.64,3,1,2,5.0,23.0,6,0,0.0,14.643,0,0,0,0,0
16,0,15021.35,3,1,2,3.0,29.1,6,0,0.0,13.976,0,0,0,0,0
17,0,14355.07,3,1,2,3.0,8.4,6,0,0.0,11.775,0,0,0,0,0
18,0,15166.8,3,1,2,5.0,14.0,6,0,0.0,13.084,0,0,0,0,0
19,0,14408.53,3,1,2,1.0,9.1,6,0,0.0,12.697,0,0,0,0,0
20,0,14945.12,3,1,2,1.0,15.4,6,0,0.0,11.888,0,0,0,0,0
