run_id,exit_code,elapsed_ms,robot_msgs,robot_ok,robot_nok,robot_latency_ms_p50,robot_latency_ms_p95,capture_total,capture_dropped,capture_drop_rate,capture_latency_avg_ms_mean,timeouts_detected,worker_restarts,python_restarts,geometry_restarts,all_restarts
1,0,17091.52,3,1,2,3.0,9.3,6,0,0.0,11.985,0,2,0,0,2
2,0,14939.74,3,1,2,3.0,8.4,6,0,0.0,11.805,0,2,0,0,2
3,0,15940.49,3,1,2,1.0,14.5,6,0,0.0,16.053,0,2,0,0,2
4,0,17084.05,3,1,2,1.0,9.1,6,0,0.0,12.836,0,2,0,0,2
5,0,16152.01,3,1,2,2.0,9.2,6,0,0.0,12.6,0,2,0,0,2
