run_id,exit_code,elapsed_ms,robot_msgs,robot_ok,robot_nok,robot_latency_ms_p50,robot_latency_ms_p95,capture_total,capture_dropped,capture_drop_rate,capture_latency_avg_ms_mean,timeouts_detected,worker_restarts,python_restarts,geometry_restarts,all_restarts
1,0,7728.58,2,1,1,3.0,5.7,4,0,0.0,13.06,0,1,0,0,1
2,0,8318.83,2,1,1,4.5,7.65,4,0,0.0,10.474,0,1,0,0,1
3,0,7453.31,2,1,1,3.0,4.8,4,0,0.0,10.327,0,1,0,0,1
4,0,7497.64,2,1,1,2.5,3.85,4,0,0.0,8.038,0,1,0,0,1
5,0,9080.96,2,1,1,2.5,3.85,4,0,0.0,10.623,0,1,0,0,1
6,0,10352.49,2,1,1,3.0,4.8,4,0,0.0,14.759,0,1,0,0,1
7,0,11009.86,2,1,1,3.5,5.75,4,0,0.0,11.698,0,1,0,0,1
8,0,12515.55,2,1,1,5.0,8.6,4,0,0.0,11.815,0,1,0,0,1
9,0,12141.93,2,1,1,9.0,17.1,4,0,0.0,9.125,0,1,0,0,1
10,0,10049.44,2,1,1,2.5,4.75,4,0,0.0,10.759,0,1,0,0,1
11,0,9483.38,2,1,1,3.5,5.75,4,0,0.0,11.482,0,1,0,0,1
12,0,9982.34,2,1,1,8.0,14.3,4,0,0.0,10.052,0,1,0,0,1
13,0,9696.3,2,1,1,3.0,4.8,4,0,0.0,10.219,0,1,0,0,1
14,0,9641.51,2,1,1,4.5,7.65,4,0,0.0,12.143,0,1,0,0,1
15,0,9239.92,2,1,1,3.0,5.7,4,0,0.0,11.607,0,1,0,0,1
16,0,9861.35,2,1,1,3.5,5.75,4,0,0.0,12.086,0,1,0,0,1
17,0,10259.25,2,1,1,3.5,5.75,4,0,0.0,11.088,0,1,0,0,1
18,0,10304.17,2,1,1,4.0,6.7,4,0,0.0,10.958,0,1,0,0,1
19,0,10001.22,2,1,1,4.0,6.7,4,0,0.0,12.246,0,1,0,0,1
20,0,10088.11,2,1,1,5.5,9.55,4,0,0.0,19.588,0,1,0,0,1
