run_id,exit_code,elapsed_ms,robot_msgs,robot_ok,robot_nok,robot_latency_ms_p50,robot_latency_ms_p95,capture_total,capture_dropped,capture_drop_rate,capture_latency_avg_ms_mean,timeouts_detected,worker_restarts,python_restarts,geometry_restarts,all_restarts
1,0,9243.19,3,1,2,1.0,8.2,6,0,0.0,8.951,0,0,0,0,0
2,0,13163.66,3,1,2,2.0,43.4,6,0,0.0,10.407,0,0,0,0,0
3,0,13479.9,3,1,2,1.0,11.8,6,0,0.0,11.202,0,0,0,0,0
4,0,12911.82,3,1,2,1.0,10.9,6,0,0.0,11.871,0,0,0,0,0
5,0,13016.88,3,1,2,1.0,8.2,6,0,0.0,10.723,0,0,0,0,0
6,0,13803.06,3,1,2,1.0,24.4,6,0,0.0,10.6,0,0,0,0,0
7,0,13194.78,3,1,2,1.0,11.8,6,0,0.0,9.59,0,0,0,0,0
8,0,13104.01,3,1,2,2.0,18.2,6,0,0.0,13.89,0,0,0,0,0
9,0,14670.6,3,1,2,4.0,10.3,6,0,0.0,10.147,0,0,0,0,0
10,0,14486.42,3,1,2,1.0,14.5,6,0,0.0,10.81,0,0,0,0,0
11,0,13742.74,3,1,2,1.0,8.2,6,0,0.0,10.061,0,0,0,0,0
12,0,13787.39,3,1,2,1.0,10.9,6,0,0.0,12.224,0,0,0,0,0
13,0,13711.53,3,1,2,1.0,11.8,6,0,0.0,10.819,0,0,0,0,0
14,0,14838.37,3,1,2,1.0,11.8,6,0,0.0,11.036,0,0,0,0,0
15,0,14018.19,3,1,2,1.0,16.3,6,0,0.0,10.697,0,0,0,0,0
16,0,12906.39,3,1,2,1.0,9.1,6,0,0.0,10.307,0,0,0,0,0
17,0,14059.25,3,1,2,1.0,8.2,6,0,0.0,10.222,0,0,0,0,0
18,0,15493.96,3,1,2,3.0,21.9,6,0,0.0,11.905,0,0,0,0,0
19,0,15385.36,3,1,2,1.0,20.8,6,0,0.0,11.948,0,0,0,0,0
20,0,13995.58,3,1,2,1.0,11.8,6,0,0.0,10.469,0,0,0,0,0
