run_id,exit_code,elapsed_ms,robot_msgs,robot_ok,robot_nok,robot_latency_ms_p50,robot_latency_ms_p95,capture_total,capture_dropped,capture_drop_rate,capture_latency_avg_ms_mean,timeouts_detected,worker_restarts,python_restarts,geometry_restarts,all_restarts
1,0,14290.3,3,1,2,2.0,7.4,6,0,0.0,15.267,0,1,0,0,1
2,0,12837.23,3,1,2,1.0,5.5,6,0,0.0,13.456,0,1,0,0,1
3,0,14181.18,3,1,2,1.0,7.3,6,0,0.0,12.826,0,1,0,0,1
4,0,14114.01,3,1,2,1.0,10.9,6,0,0.0,9.626,0,1,0,0,1
5,0,13664.51,3,1,2,3.0,6.6,6,0,0.0,14.895,0,1,0,0,1
